,Title,Link,Views,Posted,Clean_Views
112,AtomicMari (Formerly from SMOSH Games) Learns A Dance Routine on STEEZY! | STEEZY.CO,https://www.youtube.com/watch?v=Rw15ztw38A8,77K views,11 months ago,77000
113,Take Mr. YouTube’s Beginner Lite Feet Program On STEEZY Studio | STEEZY.CO,https://www.youtube.com/watch?v=6_TtN2YE5rs,16K views,11 months ago,16000
114,Available - Justin Bieber | Alexander Chung Choreography | STEEZY.CO,https://www.youtube.com/watch?v=A-UPTjE3UcM,28K views,11 months ago,28000
115,"Learn These 6 Sexy, Feminine Dance Moves w/ Kayla Brenda (Easy Tutorial!) | STEEZY.CO",https://www.youtube.com/watch?v=sNfceblzqKc,1.4M views,11 months ago,1400000
116,Pain 1993 - Drake | Julian DeGuzman Choreography | STEEZY.CO,https://www.youtube.com/watch?v=J8vgO8yX5go,18K views,11 months ago,18000
117,Entanglements - August Alsina & Rick Ross | Nicole Kirkland Choreography | STEEZY.CO,https://www.youtube.com/watch?v=89_9V5cb7A4,23K views,11 months ago,23000
118,3 Dancers Choreograph To The Same Song – Ft. The Ford Sisters | STEEZY.CO,https://www.youtube.com/watch?v=v4kCgJNAxx8,458K views,11 months ago,458000
119,K - Jaden & Lido | Vinh Nguyen Choreography | STEEZY.CO,https://www.youtube.com/watch?v=RXWNsfNGQP8,38K views,11 months ago,38000
120,Ratchet - Scotty ATL | Kiira Harper Choreography | STEEZY.CO,https://www.youtube.com/watch?v=ynDWE0-P0UM,16K views,11 months ago,16000
121,Go Crazy - Chris Brown & Young Thug | Vinh Nguyen Choreography | STEEZY.CO,https://www.youtube.com/watch?v=Tv8_svPFZUw,171K views,11 months ago,171000
122,Producer Makes Song To Dancer's Choreography! – Ft. Martha Kwon & Mizu | STEEZY.CO,https://www.youtube.com/watch?v=1Rr9Rs7LXdY,95K views,11 months ago,95000
123,Baby - Thaddeus Dixon & Kyla Fajardo | Kyla Fajardo Choreography | STEEZY.CO,https://www.youtube.com/watch?v=USqJAtiw2Lo,29K views,11 months ago,29000
124,Comme Un Enfant - Yelle | Brian Friedman Choreography | STEEZY.CO,https://www.youtube.com/watch?v=1aAaoI_y9Mc,10K views,11 months ago,10000
125,Temporary Lover - Chris Brown Ft. Lil Jon | Alexander Chung Choreography | STEEZY.CO,https://www.youtube.com/watch?v=8rdpZutpt9o,24K views,11 months ago,24000
126,How To Choose The Best Heels For Dancing – Ft. Kiira Harper | STEEZY.CO,https://www.youtube.com/watch?v=DrGbPtS5Ikw,39K views,11 months ago,39000
127,Get Yourself A Dance Friend Like Him... | STEEZY Vlog #9,https://www.youtube.com/watch?v=3U21x9ZfHPU,10K views,1 year ago,10000
128,You Know Wassup - Kehlani | Ysabelle Capitule Choreography | STEEZY.CO,https://www.youtube.com/watch?v=0ubItWCAfqk,37K views,1 year ago,37000
129,Do It - Chloe x Halle | Kayla Brenda Choreography | STEEZY.CO,https://www.youtube.com/watch?v=svgTXOlTidM,32K views,1 year ago,32000
130,Let There Be Love - Christina Aguilera | Brian Friedman Choreography | STEEZY.CO,https://www.youtube.com/watch?v=zLygVI5R2C0,9.5K views,1 year ago,9500
131,Take Kiira Harper’s Beginner Heels Program On STEEZY Studio,https://www.youtube.com/watch?v=pHSCbVFQ6jM,21K views,1 year ago,21000
132,Tim Chantarangsu (formerly Timothy DeLaGhetto) Learns His First Dance Routine! | STEEZY.CO,https://www.youtube.com/watch?v=BFUVniVK-FM,201K views,1 year ago,201000
133,New Dance Style On STEEZY?! | STEEZY Vlog #8,https://www.youtube.com/watch?v=ATs99ml6jWw,14K views,1 year ago,14000
134,Donk - Soulja Boy | J Blaze Choreography | STEEZY.CO,https://www.youtube.com/watch?v=WGKEymZApEw,16K views,1 year ago,16000
135,Sour Candy - Lady Gaga & BLACKPINK | David Slaney Choreography | STEEZY.CO,https://www.youtube.com/watch?v=cheu_jRIek4,15K views,1 year ago,15000
136,MAKING THE WORLD’S SEXIEST DANCE PROGRAM | STEEZY Vlog #7,https://www.youtube.com/watch?v=OQmEUfBtPeM,25K views,1 year ago,25000
137,Welcome To The Party (Remix) - Pop Smoke Ft. Nicki Minaj | Sienna Lalau Choreography | STEEZY.CO,https://www.youtube.com/watch?v=_2MT2wdnzqU,26K views,1 year ago,26000
138,TikTok Dances 2020 - Savage Remix Challenge Explained! | STEEZY.CO,https://www.youtube.com/watch?v=-Ct58WnV2kE,26K views,1 year ago,26000
139,Touch & Go - Tinashe & 6LACK | Kayla Brenda Choreography | STEEZY.CO,https://www.youtube.com/watch?v=KI28Kjq0nbA,18K views,1 year ago,18000
140,Luving U - 6LACK | Anthony Lee Choreography | STEEZY.CO,https://www.youtube.com/watch?v=gAk7ggbzPyQ,54K views,1 year ago,54000
141,YouTube Twins Nina And Randa Learn A Dance Routine on STEEZY! | STEEZY.CO,https://www.youtube.com/watch?v=LMP1ErbzkZk,147K views,1 year ago,147000
142,Ballet Dancer Takes A Hip Hop Dance Class?! | STEEZY Vlog #6,https://www.youtube.com/watch?v=9SGbZe6fQd8,29K views,1 year ago,29000
143,Super Bass - Nicki Minaj | Ellen Kim Choreography | STEEZY.CO,https://www.youtube.com/watch?v=p7FPhR28_ZA,31K views,1 year ago,31000
144,Producer Makes Song To Dancer's Choreography! – Ft. Franklin Yu & TungFuHustle | STEEZY.CO,https://www.youtube.com/watch?v=I_vGS7Po8Uk,180K views,1 year ago,180000
145,"MUSIC VIDEO WITH THE FUTURE KINGZ, AYO & TEO, DYTTO, AND JUSTMAIKO!? | STEEZY Vlog #5",https://www.youtube.com/watch?v=ohDFH4ETlKw,91K views,1 year ago,91000
146,Savage Remix - Megan Thee Stallion Ft. Beyoncé | NaeNae Twins Choreography | STEEZY.CO,https://www.youtube.com/watch?v=T9s4s7PDsEU,37K views,1 year ago,37000
147,"3 Dancers Choreograph To The Same Song – Ft. Lando Wilkins, Jun Quemado, & Jawn Ha | STEEZY.CO",https://www.youtube.com/watch?v=-z4AyPodMMA,425K views,1 year ago,425000
148,MOS WANTED CREW REUNION?! | STEEZY Vlog #4,https://www.youtube.com/watch?v=rE0HEQLqqF4,25K views,1 year ago,25000
149,Savage Remix - Megan Thee Stallion Ft. Beyoncé | Kiira Harper Choreography | STEEZY.CO,https://www.youtube.com/watch?v=OsHS80Yd-6Q,25K views,1 year ago,25000
150,Can You Hear Me - Omarion Ft. T-Pain | Phil Wright Choreography | STEEZY.CO,https://www.youtube.com/watch?v=teRb74nFEBo,16K views,1 year ago,16000
151,10 Things That Make You A Bad Dancer | STEEZY.CO,https://www.youtube.com/watch?v=q9p9HrRWOB0,110K views,1 year ago,110000
152,He Can Rap… But Can Tim Chantarangsu Dance?! | STEEZY Vlog #3,https://www.youtube.com/watch?v=ds7iECnaZjM,25K views,1 year ago,25000
153,You Got It - Vedo | Jun Quemado Choreography | STEEZY.CO,https://www.youtube.com/watch?v=LRFWEq5Cad8,81K views,1 year ago,81000
154,Hot - Young Thug Ft. Gunna | Lando Wilkins Choreography | STEEZY.CO,https://www.youtube.com/watch?v=KMBOmge1G-E,17K views,1 year ago,17000
155,"SexBeat - Usher, Lil Jon, & Ludacris | Brian Puspos Choreography | STEEZY.CO",https://www.youtube.com/watch?v=6mXu0f_ZBZg,59K views,1 year ago,59000
156,He's Not Allowed In Our Vlogs... | STEEZY Vlog #2,https://www.youtube.com/watch?v=hg823Qle3Mw,8.4K views,1 year ago,8400
157,"Señorita - Shawn Mendes, Camila Cabello | Kayla Brenda Choreography | STEEZY.CO",https://www.youtube.com/watch?v=rE34VurPtaE,35K views,1 year ago,35000
158,"Bacc At It Again - Yella Beezy, Quavo & Gucci Mane | J Blaze Choreography | STEEZY.CO",https://www.youtube.com/watch?v=rZvFitIOOCs,14K views,1 year ago,14000
159,Own It (C Minor Remix) - Ella Mai | Dexter Carr Choreography | STEEZY.CO,https://www.youtube.com/watch?v=wjM9uvcPPQI,20K views,1 year ago,20000
160,"3 Dancers Choreograph To The Same Song – Ft. Trevor Takemoto, Devin Pornel, & Jason Lin | STEEZY.CO",https://www.youtube.com/watch?v=RotM-0EPRyc,456K views,1 year ago,456000
161,We Made Our First Vlog and STEEZY Party! | STEEZY Vlog #1,https://www.youtube.com/watch?v=Nw4umDda6OQ,9.3K views,1 year ago,9300
162,Conceited - Remy Ma | Sienna Lalau Choreography | STEEZY.CO,https://www.youtube.com/watch?v=zIedpMi_bU0,50K views,1 year ago,50000
163,Move - Little Mix | Brian Friedman Choreography | STEEZY.CO,https://www.youtube.com/watch?v=9PtAxQGQQMU,25K views,1 year ago,25000
164,Why Am I So Scared Of Freestyling? | Dance Problems Explained! | STEEZY.CO,https://www.youtube.com/watch?v=QzD_O4WLTto,81K views,1 year ago,81000
165,Beauty In The Benz - Tory Lanez | Delaney Glazer Choreography | STEEZY.CO,https://www.youtube.com/watch?v=Zua3Bqqw3sE,34K views,1 year ago,34000
166,Take It Out On Me - Justin Bieber | Alexander Chung Choreography | STEEZY.CO,https://www.youtube.com/watch?v=38w8wiT5KKo,32K views,1 year ago,32000
167,"Jojo Diggs and Jade ""Soul"" Zuberi Share 3 Important Topics on Street Dance Culture",https://www.youtube.com/watch?v=iQI_Bss2mxo,23K views,1 year ago,23000
168,Can I - Tiffany Gouche | Ysabelle Capitule Choreography | STEEZY.CO,https://www.youtube.com/watch?v=wB8Isvo59cI,31K views,1 year ago,31000
169,ROCKSTAR - DaBaby Ft. Roddy Ricch | Nicole Kirkland Choreography | STEEZY.CO,https://www.youtube.com/watch?v=yI8bAdyPuDE,25K views,1 year ago,25000
170,We Made A Dance Routine Over Webcam! – Ft. Renzell Roque of The Future Kingz | STEEZY.CO,https://www.youtube.com/watch?v=2Gy95kW8DrU,42K views,1 year ago,42000
